iter	Passed	Remaining
622	5643	3414
623	5651	3405
624	5660	3396
625	5669	3387
626	5678	3377
627	5686	3368
628	5695	3359
629	5704	3350
630	5713	3341
631	5722	3332
632	5732	3323
633	5741	3314
634	5750	3305
635	5759	3296
636	5768	3287
637	5777	3278
638	5786	3268
639	5794	3259
640	5803	3250
641	5811	3240
642	5820	3231
643	5829	3222
644	5839	3214
645	5848	3205
646	5857	3195
647	5866	3186
648	5874	3177
649	5883	3168
650	5892	3159
651	5902	3150
652	5910	3140
653	5919	3131
654	5927	3122
655	5936	3113
656	5945	3104
657	5954	3094
658	5963	3085
659	5972	3076
660	5981	3067
661	5990	3058
662	5999	3049
663	6009	3040
664	6017	3031
665	6026	3022
666	6035	3012
667	6044	3004
668	6053	2994
669	6061	2985
670	6070	2976
671	6079	2967
672	6088	2958
673	6097	2949
674	6105	2939
675	6114	2930
676	6123	2921
677	6131	2912
678	6140	2902
679	6148	2893
680	6157	2884
681	6166	2875
682	6175	2866
683	6184	2857
684	6193	2848
685	6202	2839
686	6211	2830
687	6221	2821
688	6229	2812
689	6238	2802
690	6247	2793
691	6256	2784
692	6265	2775
693	6274	2766
694	6283	2757
695	6292	2748
696	6300	2739
697	6309	2729
698	6318	2720
699	6327	2711
700	6336	2702
701	6344	2693
702	6354	2684
703	6362	2675
704	6371	2666
705	6380	2657
706	6389	2647
707	6398	2638
708	6407	2629
709	6416	2620
710	6425	2611
711	6434	2602
712	6443	2593
713	6451	2584
714	6460	2575
715	6469	2566
716	6478	2557
717	6487	2547
718	6496	2538
719	6504	2529
720	6513	2520
721	6522	2511
722	6531	2502
723	6539	2493
724	6548	2483
725	6557	2474
726	6566	2465
727	6574	2456
728	6583	2447
729	6592	2438
730	6600	2429
731	6609	2419
732	6618	2410
733	6627	2401
734	6636	2392
735	6645	2383
736	6654	2374
737	6663	2365
738	6672	2356
739	6681	2347
740	6689	2338
741	6698	2329
742	6707	2320
743	6716	2310
744	6724	2301
745	6734	2293
746	6743	2283
747	6752	2274
748	6761	2265
749	6770	2256
750	6779	2247
751	6789	2238
752	6800	2230
753	6811	2222
754	6821	2213
755	6831	2205
756	6841	2196
757	6852	2187
758	6861	2178
759	6871	2169
760	6880	2160
761	6890	2152
762	6899	2143
763	6909	2134
764	6918	2125
765	6929	2116
766	6938	2107
767	6947	2098
768	6957	2090
769	6969	2081
770	6979	2072
771	6989	2064
772	6998	2055
773	7009	2046
774	7019	2037
775	7028	2028
776	7039	2020
777	7049	2011
778	7058	2002
779	7068	1993
780	7078	1984
781	7088	1975
782	7097	1967
783	7108	1958
784	7117	1949
785	7127	1940
786	7138	1931
787	7147	1923
788	7157	1914
789	7167	1905
790	7177	1896
791	7187	1887
792	7198	1878
793	7209	1870
794	7219	1861
795	7229	1852
796	7239	1843
797	7248	1834
798	7258	1825
799	7268	1817
800	7278	1808
801	7288	1799
802	7297	1790
803	7306	1781
804	7315	1771
805	7324	1762
806	7333	1753
807	7341	1744
808	7350	1735
809	7359	1726
810	7368	1717
811	7377	1708
812	7386	1698
813	7394	1689
814	7403	1680
815	7412	1671
816	7420	1662
817	7429	1653
818	7438	1643
819	7447	1634
820	7457	1625
821	7466	1616
822	7475	1607
823	7485	1598
824	7494	1589
825	7503	1580
826	7511	1571
827	7520	1562
828	7529	1553
829	7538	1544
830	7547	1534
831	7556	1525
832	7565	1516
833	7573	1507
834	7582	1498
835	7591	1489
836	7600	1480
837	7609	1471
838	7617	1461
839	7626	1452
840	7635	1443
841	7644	1434
842	7652	1425
843	7661	1416
844	7670	1407
845	7679	1397
846	7688	1388
847	7697	1379
848	7706	1370
849	7714	1361
850	7725	1352
851	7734	1343
852	7743	1334
853	7751	1325
854	7760	1316
855	7769	1306
856	7778	1297
857	7786	1288
858	7796	1279
859	7805	1270
860	7814	1261
861	7823	1252
862	7832	1243
863	7841	1234
864	7850	1225
865	7859	1216
866	7868	1207
867	7877	1197
868	7886	1188
869	7895	1179
870	7904	1170
871	7913	1161
872	7922	1152
873	7931	1143
874	7939	1134
875	7949	1125
876	7958	1116
877	7967	1107
878	7976	1097
879	7985	1088
880	7993	1079
881	8002	1070
882	8010	1061
883	8019	1052
884	8028	1043
885	8037	1034
886	8046	1025
887	8054	1015
888	8063	1006
889	8072	997
890	8081	988
891	8089	979
892	8098	970
893	8107	961
894	8115	952
895	8124	943
896	8133	933
897	8142	924
898	8150	915
899	8159	906
900	8168	897
901	8177	888
902	8186	879
903	8196	870
904	8205	861
905	8214	852
906	8222	843
907	8231	834
908	8240	824
909	8249	815
910	8257	806
911	8266	797
